fecha,ciudad_de_mexico
2018-10-31,73.17
2018-11-30,75.58
2018-12-31,65.45
2019-01-31,53.13
2019-02-28,69.3
2019-03-31,68.37
2019-04-30,66.49
2019-05-31,68.25
2019-06-30,68.01
2019-07-31,70.09
2019-08-31,65.61
2019-09-30,67.18
2019-10-31,75.44
2019-11-30,78.54
2019-12-31,62.11
2020-01-31,55.51
2020-02-29,69.8708770579112
2020-03-31,39.0154677728698
2020-04-30,2.75903103498478
2020-05-31,1.55131023693239
2020-06-30,3.36016351222229
2020-07-31,8.22286009009373
2020-08-31,12.1788801736568
2020-09-30,15.3000037975164
2020-10-31,19.0411148528217
2020-11-30,21.8
2020-12-31,17.19
2021-01-31,15.628556343506187
2021-02-28,16.967167758000553
2021-03-31,21.258853088739198
2021-04-30,24.909695486986923
2021-05-31,29.77305137223258
2021-06-30,33.3143684373558
2021-07-31,37.8427981419296
2021-08-31,35.8440872442354
2021-09-30,36.5448032749602
2021-10-31,44.059549399517266
2021-11-30,56.04370404063377
2021-12-31,48.593738154802516
2022-01-31,36.480135436026714
2022-02-28,45.60348152493943
2022-03-31,55.233257036595454
2022-04-30,55.59668669353817
2022-05-31,56.30436868314963
2022-06-30,56.94209066144441
2022-07-31,55.9692444989482
2022-08-31,56.67238349062188
2022-09-30,57.68497194605155
2022-10-31,70.64020259965851
2022-11-30,73.50203149281957
2022-12-31,67.86659732955482
2023-01-31,54.909073558340715
2023-02-28,62.70701922113376
2023-03-31,66.217494711517
2023-04-30,63.98109509357612
2023-05-31,60.507735195907244
2023-06-30,58.3423235201013
2023-07-31,59.830775357657075
2023-08-31,62.77407101063015
2023-09-30,62.3848686293131
2023-10-31,70.36
2023-11-30,77.60443178220956
2023-12-31,64.1770813548591
2024-01-31,55.9184511227522
2024-02-29,64.07
2024-03-31,64.22911996881395
2024-04-30,64.0793507211418
2024-05-31,62.55
2024-06-30,61.19
2024-07-31,62.6
